"","thet.1","thet.2","thet.3","thet.4","z_ini.1","z_ini.2","sigm.1","sigm.2"
"thet.1",-2925.54604814374,-123.154826375932,-1571.1093273893,-1400.7561672877,-1283.93829008199,-218.808426401137,13.1801613399284,-13.7994078336621
"thet.2",-123.154826375932,-424.216362157159,-601.663897591526,-87.9021539553011,-173.378332218492,-168.76420911946,5.07544246428003,-13.6817672893104
"thet.3",-1571.1093273893,-601.663897591526,-2341.58383909588,-217.833882515344,-642.392249368045,-439.470194694983,14.2172351375768,-16.8423904108331
"thet.4",-1400.7561672877,-87.9021539553011,-217.833882515344,-1164.32163919825,-817.568015526654,-81.0538734253494,4.6794611078887,-9.93416030236157
"z_ini.1",-1283.93829008199,-173.378332218492,-642.392249368045,-817.568015526654,-804.255521014162,-166.531044671824,5.4472314537481,-9.93386986439245
"z_ini.2",-218.808426401137,-168.76420911946,-439.470194694983,-81.0538734253494,-166.531044671824,-247.281994736731,5.07547696086137,-6.10666579389617
"sigm.1",13.1801613399284,5.07544246428003,14.2172351375768,4.6794611078887,5.4472314537481,5.07547696086137,-2531.63580693073,0
"sigm.2",-13.7994078336621,-13.6817672893104,-16.8423904108331,-9.93416030236157,-9.93386986439245,-6.10666579389617,0,-2527.52776139396
